Raza,Foto,Acerca de,Tamaño,No Alergia,País,Categoría de tamaño,Esperanza de vida promedio,Rasgo 1,Rasgo 2,Rasgo 3,Rasgo 4,Rasgo 5,Rasgo 6,Casa,Experiencia,Sociable,Entrenamiento,Actividades,Cuidados,Ejercicio,Guardia
Spitz Japonés,https://cdn.royalcanin-weshare-online.io/mmnSsmoBG95Xk-RBS_aQ/v1/bd230bl-hub-japanese-spitz-adult-standing?w=320&fm=jpg&auto=compress,"Este es el único perro de tipo Spitz criado exclusivamente para compañía, aunque los Spitz fueron en sus inicios en Japón formidables perros de trabajo . Estos perros, de constitución sólida y bien proporcionados, tienen un pelaje abundante de color blanco puro, hocico puntiagudo, orejas triangulares y de oído fino y cola de pelo largo y abundante. Su espíritu y su dignidad se expresan a través de su belleza armoniosa y elegante. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Japón,Pequeño,10–16 años,Equilibrado,Tranquilo,Inteligente,Afable,Entusiasta,Tranquilo,,,,,,Requiere muchos cuidados,Necesita poco ejercicio,
Teckel,https://cdn.royalcanin-weshare-online.io/xWmmHGsBG95Xk-RBlvjU/v1/bd4bl-hub-dachshund-adult-standing?w=320&fm=jpg&auto=compress,"Hay nueve variedades distintas de Teckel, cada una con diferentes tamaños y tipos de pelaje. A pesar de tener patas cortas, son muy activos, pero sus necesidades de ejercicio físico pueden cumplirse fácilmente. Esto permite que la raza se adapte bien a la vida de la ciudad o a un espacio reducido. En general, se cree que los Teckels desarrollan distintos temperamentos en función del tipo de pelaje que tengan, así que asegúrate de saber qué tipo de Teckel se adaptará mejor a tu situación. Se piensa que los Teckels de pelo largo son mucho más tranquilos que sus homólogos de pelo corto y duro. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Alemania,Pequeño,12–14 años,Afable,Equilibrado,Seguro,Entusiasta,Alegre,,Jardín no esencial,,,Necesita un entrenamiento moderado,,Requiere muchos cuidados,,
Terrier Australiano,https://cdn.royalcanin-weshare-online.io/-iLMxWoBaxEApS7LjxuS/v5/bd132bl-hub-australian-terrier-adult-sitting?w=320&fm=jpg&auto=compress,"El Terrier Australiano es, básicamente, un perro de trabajo, pero también son lo suficientemente leales y equilibrados para ser excelentes compañeros. Este perro robusto y bajo es más largo que alto. Alegre, activo y de buena constitución, exhibe un temperamento típico de terrier. Su pelaje áspero y más largo forma un collar claro alrededor del cuello, que se extiende hasta el esternón. La cabeza larga y fuerte contribuye para conferirle un aspecto rústico y resistente. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Australia,Pequeño,12–15 años,Leal,Equilibrado,,,,,Jardín no esencial,,,Necesita poco entrenamiento,,Requiere muchos cuidados,,
Terrier Brasileño,https://cdn.royalcanin-weshare-online.io/ESLWxWoBaxEApS7LJxwN/v1/bd157bl-hub-brazilian-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Inquietos, alegres, activos y alerta, estos pequeños terriers son animales afables que se llevan bien con sus amigos. Son una de las dos razas brasileñas reconocidas a nivel internacional, junto con los Filas. En cuánto a su caracter, algunos son similares a los Jack Russell. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Brasil,Pequeño,12–14 años,Entusiasta,Amigable,Alerta,Activo,Gentil,,,,,,,Requiere muchos cuidados,Necesita mucho ejercicio,Un gran perro guardián
Terrier Checo,https://cdn.royalcanin-weshare-online.io/1SImxWoBaxEApS7LUBu9/v1/bd165bl-hub-cesky-terrier-adult-standing?w=320&fm=jpg&auto=compress,"František Horák, originario de cerca de Praga, estableció las características de la raza en 1949 y los terriers checos aparecieron por primera vez bajo su nombre diez años después. La FCI reconoció la raza en 1963. Hoy en día, los terriers checos, inicialmente utilizados para cazar zorros y tejones, son principalmente animales de compañía. Musculosos y de buena constitución pero nada antagónicos, estos perros especialmente tranquilos, agradables y alegres son algo tímidos con los extraños. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, República Checa,Pequeño,12–15 años,Alegre,Cariñoso,Afable,Seguro,Dócil,Fuerte,Adecuado para casas pequeñas,,Un gran perro para una familia,Requiere mucho entrenamiento,,,,
Terrier De Manchester,https://cdn.royalcanin-weshare-online.io/p2nZsmoBG95Xk-RBFfYO/v3/bd246bl-hub-manchester-terrier-adult-standing?w=320&fm=jpg&auto=compress,"A diferencia de otros terrier, el de Manchester se crio para un entorno urbano. Aunque es un excelente cazador, el terrier de Manchester, dado su amor por la persecución, es especialmente adecuado para los entrenamientos de agilidad. El terrier de Manchester rebosa personalidad, y a menudo se considera uno de los terrier con mejores modales. Su lealtad e inteligencia lo convierten en excelentes compañeros y expertos perros guardianes. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Reino Unido,Pequeño,14–16 años,Entusiasta,Alerta,Afable,Alegre,Leal,,Requiere espacio exterior,,Un gran perro para una familia,,,Necesita cuidados moderados,,
Terrier De Norfolk,https://cdn.royalcanin-weshare-online.io/HCIqx2oBaxEApS7LSRzA/v1/bd88bl-hub-norfolk-terrier-adult-standing?w=320&fm=jpg&auto=compress,"De baja altura a la cruz, compacto y robusto, el de Norfolk es uno de los Terriers más pequeños que existen, pero aún así, es muy vigoroso. Se trata de un perro muy cariñoso y leal al que le gusta acurrucarse al lado de su dueño,  lo cual no quiere decir que le guste estar sobre su regazo. El Terrier de Norfolk es muy activo y le encanta embarcarse en nuevas aventuras. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Reino Unido,Pequeño,12–15 años,Cariñoso,Fuerte,Alerta,Seguro,Entusiasta,,,,Un gran perro para una familia,La educación deberá comenzar pronto,,,Necesita mucho ejercicio,
Terrier De Norwich,https://cdn.royalcanin-weshare-online.io/rWnbsmoBG95Xk-RB7fbO/v1/bd255bl-hub-norwich-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Con una energía rebosante, el Terrier de Norwich es un perro pequeño. resistente, intrépido y muy alegre. A pesar de su reducido tamaño, es sólido y robusto. Por su carácter incansable y su predisposición al juego, puede ser un estupendo animal de compañía para cualquier familia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Reino Unido,Pequeño,12–15 años,Entusiasta,Cariñoso,Alegre,Fuerte,Afable,Seguro,,,,Disfruta del entrenamiento,,Requiere muchos cuidados,,
Terrier De Sealyham,https://cdn.royalcanin-weshare-online.io/m_rnsmoBIYfdNSoC5RgK/v1/bd292bl-hub-sealyham-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Fuertes y juguetones, con muchas ganas de trabajar, los Terrier de Sealyham son intrépidos y siempre están alerta, pero también son especialmente simpáticos. Menos activo que otros terriers, el Sealyham se adapta perfectamente a la vida en casas o apartamentos pequeños. Estos perros están siempre de buen humor y son juguetones por naturaleza, lo que los hace especialmente atractivos para las familias. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Reino Unido,Pequeño,12–14 años,Alegre,Equilibrado,Juguetón,Alerta,Seguro,Afable,Jardín no esencial,,,,,Requiere cuidados mínimos,,Un gran perro guardián
Terrier Escocés,https://cdn.royalcanin-weshare-online.io/KSIvx2oBaxEApS7LnhyD/v1/bd103bl-hub-scottish-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Aunque el terrier escocés es reconocible por su perfil característico, su carácter despierto y alegre y su actitud confiada son también distintivas.  El terrier escocés es un perro trabajador con un gran empuje por perseguir sus presas. Este perro de carácter despierto por naturaleza y reservado con los extraños, lo convierte en un perro guardián excelente. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True, Reino Unido,Pequeño,11–13 años,Leal,Independiente,Tímido,Inteligente,Seguro,Ágil,Jardín no esencial,,,,,Necesita cuidados moderados,Necesita poco ejercicio,
Terrier Japonés,https://cdn.royalcanin-weshare-online.io/hfrTsmoBIYfdNSoCwxjI/v3/bd231bl-hub-japanese-terrier-adult-standing?w=320&fm=jpg&auto=compress,"El terrier japonés es un perro animado y alegre con una inteligencia destacada. Las dos principales cualidades de esta raza son la capacidad de adaptación y el gran afecto que manifiestan. Se trata de un perro de tamaño pequeño, inteligente y una figura clara y compacta. El pelaje es muy corto, de unos 2 mm de longitud. Estos perros son sensibles y no demasiado ruidosos y aprecian la compañía de niños y adultos. Es fácil entender por qué son tan apreciados por las familias japonesas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Japón,Pequeño,9–12 años,Alerta,Afable,Alegre,,,,,,Un gran perro para una familia,,,Necesita cuidados moderados,Necesita mucho ejercicio físico y mental,
Vallhund Sueco,https://cdn.royalcanin-weshare-online.io/a_rGsmoBIYfdNSoCUxir/v1/bd314bl-hub-swedish-vallhund-vizigothic-spitz-adult-standing?w=320&fm=jpg&auto=compress,"Los Vallhunds suecos son perros de caza apreciados por su energía y ser adecuados para vigilancia. Estos pequeños y poderosos cánidos tienen reaccionan de forma enérgica y no conocen el miedo. En su país natal, son considerados tenaces, leales y extremadamente afables, lo que los convierte en excelentes compañeros para sus familias. A pesar de su pequeña estatura, estos perros son muy enérgicos y se adaptan mejor a familias con jardines o acceso al exterior. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Suecia,Pequeño,12–14 años,Alerta,Alegre,Seguro,,,,,Adecuado para propietarios primerizos,Un gran perro para una familia,,,Necesita cuidados moderados,,
Volpino Italiano,https://cdn.royalcanin-weshare-online.io/e2nEsmoBG95Xk-RBzfZT/v3/bd321bl-hub-italian-volpino-adult-standing?w=320&fm=jpg&auto=compress,"Los Volpinos Italianos son perros alegres y juguetones con un carácter particular, que se encariñan con su familia y su espacio. Se han criado en Italia desde tiempos inmemoriales, y eran muy queridos tanto en palacios como en casas humildes, por su instinto guardián y vigilancia. Probablemente, por lo que más se les conoce es por ser la raza preferida de Miguel Ángel. En el siglo XVIII, acompañaban a los carreteros de la Toscana y del Lacio (Italia), y ladraban en cuanto se acercaba algún extraño. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Italia,Pequeño,14–16 años,Cariñoso,Seguro,Alerta,Juguetón,Alegre,,Jardín no esencial,,,Necesita un entrenamiento moderado,,Requiere muchos cuidados,,
Welsh Terrier,https://cdn.royalcanin-weshare-online.io/Rvo1x2oBIYfdNSoCkRlw/v1/bd115bl-hub-welsh-terrier-adult-standing?w=320&fm=jpg&auto=compress,"En su tierra natal, los Welsh Terrier son considerados miembros de una de las razas más antiguas de terriers. Estos perros de trabajo tienen un gran potencial en muchas disciplinas diferentes, incluida la caza, el cobro y el acoso del tejón para sacarlo de su cubil. Necesitan firmeza en el hogar, ya que suelen ser tercos. Los Welsh Terrier es un perro de constitución compacta, figura cuadrada, gran musculatura y fuerza. En general, son perros de trabajo, aunque también son conocidos por ser unos animales de compañía educados y afables. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Reino Unido,Pequeño,12–15 años,Inteligente,Equilibrado,Cariñoso,Obediente,Afable,Seguro,,,Paciente con niños y otros animales,,,Requiere cuidados mínimos,Necesita ejercicio moderado,
West Highland White Terrier,https://cdn.royalcanin-weshare-online.io/OiI6x2oBaxEApS7LCxyg/v1/bd116bl-hub-west-highland-white-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Los West Highland white terriers, pequeños, fuertes y activos, muestran una gran confianza y tienen una mirada pícara. Estos perros, verdaderos terrier sin duda alguna, son pensadores independientes, pero su lealtad e inteligencia los han hecho muy populares entre las familias. Los West Highland white terriers son pequeños perros de complexión fuerte, que muestran una increíble fortaleza y actividad Son auténticos terriers de trabajo, criados para cazar ratas, y no hay nada que les haga más felices que les encomienden una tarea. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True, Escocia,Pequeño,12–14 años,Alegre,Juguetón,Fuerte,Seguro,Alerta,Afable,,,Un gran perro para una familia,,,Necesita cuidados moderados,Necesita mucho ejercicio,
Whippet,https://cdn.royalcanin-weshare-online.io/Sfo6x2oBIYfdNSoCaRkl/v1/bd117bl-hub-whippet-adult-standing?w=320&fm=jpg&auto=compress,"Los whippets son felices en cualquier lugar. Les encanta la pista de carreras aunque también la vida hogareña. Estos perros dóciles, cariñosos y equilibrados son compañeros ideales y grandes atletas. Los whippets, ahora la raza más popular de los lebreles, fueron conocidos un tiempo como pequeños greyhounds. A pesar de su delicada apariencia, los whippets son perros fuertes y resistentes y tienen mucha energía. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Reino Unido,Pequeño,12–15 años,Adaptable,Alegre,Dócil,Cariñoso,Equilibrado,,Adecuado para casas pequeñas,,Un gran perro para una familia,,,Requiere muchos cuidados,,
Airedale Terrier,https://cdn.royalcanin-weshare-online.io/rfozHWsBIYfdNSoCiRpm/v1/bd21bl-hub-airedale-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Los airedales son perros robustos que están siempre en alerta, no son agresivos y tampoco se asustan fácilmente. Son activos, musculosos, entusiastas y tienen un carácter muy afable.  El airedale terrier es famoso por ser una de las razas de perros más versátiles del mundo y gozan de muy buena fama como cazadores, atletas y compañeros. Suelen utilizarse como perros policía en algunos países. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True, Reino Unido,Mediano,10–13 años,Alegre,Entusiasta,Ágil,Seguro,Afable,Inteligente,,,Dócil con los niños,,,Requiere muchos cuidados,Necesita mucho ejercicio,
Alaskan Malamute,https://www.purina.es/sites/default/files/styles/ttt_image_original/public/2021-02/BREED%20Hero%20Desktop_0184_alaskan_malamute.webp?itok=_5IriRnJ,"El Alaskan Malamute pertenece a una de las razas de pastoreo árticas más antiguas. Son perros robustos, de complexión fuerte, con un pecho profundo y un cuerpo musculoso. Tienen la cabeza ancha y unas orejas triangulares, que levantan cuando están atentos.  Los Alaskan Malamute son perros de pastoreo que no han sido criados por su velocidad, sino por su fuerza y capacidad de resistencia. Les gusta compartir su afecto con toda la familia, sin mostrar un apego excesivo hacia una persona en particular. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Estados Unidos,Mediano,12–15 años,Cariñoso,Afable,Sociable,Leal,Juguetón,,Jardín no esencial,,,Necesita un entrenamiento moderado,,Requiere muchos cuidados,,
American Staffordshire Terrier,https://cdn.royalcanin-weshare-online.io/8iLJxWoBaxEApS7L-RuR/v3/bd126bl-hub-american-staffordshire-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Fuerte, atlético y valiente, el American Staffordshire Terrier es muy obediente y está perfectamente capacitado para ejercicios de agilily. Es un perro muy cariñoso y juguetón al que nada le gusta más que pasar tiempo con su dueño. Esta raza, derivada del antiguo Pit Bull Terrier, se caracteriza por su docilidad y familiaridad, y se lleva igual de bien con otras mascotas que con niños y adultos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Estados Unidos,Mediano,12–14 años,Ágil,Entusiasta,Alegre,,,,,,Dócil con los niños,,,Necesita cuidados moderados,,
Ariegeois,https://cdn.royalcanin-weshare-online.io/22k9HWsBG95Xk-RBlfiM/v1/bd26bl-hub-ariegeois-adult-standing?w=320&fm=jpg&auto=compress,"Los Ariegeois son perros trabajadores, muy inteligentes y resistentes, lo que los convierte en excelentes perros de caza. Tienen un carácter alegre y sociable, reforzado por una lealtad inquebrantable.  El Ariegeois tiene las características físicas de un perro rastreador y es famoso por sus habilidades y su obediencia, ya sea solo o en manada, y su agilidad en terrenos difíciles. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Francia,Mediano,10–12 años,Inteligente,Sociable,Fuerte,Obediente,,,Requiere espacio exterior,,,Requiere mucho entrenamiento,,Requiere muchos cuidados,,
Barbet,https://cdn.royalcanin-weshare-online.io/ACLQxWoBaxEApS7LhxxY/v3/bd135bl-hub-barbet-adult-standing?w=320&fm=jpg&auto=compress,"Como todos los perros de agua, el Barbet, que se utiliza para cazar aves silvestres, es más que un simple perro cobrador. Localiza y levanta la presa escondida entre la vegetación acuática y la recupera después del disparo. No le tiene miedo al frío y entra al agua sin importar cómo esté el clima. Su medio favorito es el agua, y le gusta chapotear tanto por trabajo como por placer. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Francia,Mediano,13–15 años,Sociable,Cariñoso,Fuerte,,,,Requiere espacio exterior,Necesita un dueño con experiencia,,,,Necesita cuidados moderados,,
Basenji,https://cdn.royalcanin-weshare-online.io/tfo_HWsBIYfdNSoC7xo7/v1/bd28bl-hub-basenji-adult-standing?w=320&fm=jpg&auto=compress,"Los Basenjis son perros de constitución esbelta y huesos finos, con patas largas, siempre bien equilibrados, alegres e inteligentes. Aunque relativamente independiente y distante con los extraños, el Basenji es muy cariñoso con su familia. Estos perros notablemente limpios son activos y elegantes en sus movimientos, con pasos largos y suaves. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True, Congo,Mediano,12–16 años,Inteligente,Independiente,Cariñoso,Alerta,Tímido,,,,,Requiere mucho entrenamiento,,,Necesita mucho ejercicio físico y mental,Un gran perro guardián
Basset Artesiano De Normandía,https://cdn.royalcanin-weshare-online.io/ASLQxWoBaxEApS7Lwxzg/v1/bd136bl-hub-basset-artesien-normand-adult-standing?w=320&fm=jpg&auto=compress,"El basset artesiano de Normandía es un perro para caza menor utilizado por cazadores para trabajar solo o en grupo. Sus patas cortas le permiten penetrar en una vegetación muy densa, fuera del alcance de los perros más grandes, para levantar la presa. Le gusta cazar conejos, pero las liebres y el corzo también están dentro de sus capacidades. Rastrea y levanta con gran seguridad, no rápidamente, pero sí de forma ruidosa y metódica. Es alegre por naturaleza y muy cariñoso. Cuando asumió el liderazgo del club de la raza en 1927, Léon Verrier expresó su deseo de reforzar el carácter normando de la raza, en contraste con el sabueso artesiano. El libro de normas publicado tres años más tarde, por lo tanto, declaró que el ""basset artesiano de Normandía debería estar a solo un paso de un tipo normando, sin rastro del artesiano"". Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Francia,Mediano,12–15 años,Cariñoso,Seguro,Dócil,Leal,Tranquilo,Sociable,,,Paciente con niños y otros animales,Disfruta del entrenamiento,,Requiere cuidados mínimos,,
Basset Azul De Gascuña,https://www.dogalize.com/wp-content/uploads/2017/02/perro-basset-azul-de-gascuna.jpg,"La raza renació a fines del siglo XIX, bajo la instigación de algunos cazadores occidentales. Desde entonces, su evolución ha sido constante tanto en el plan de mejora morfológica necesaria como en la preservación de las cualidades del perro ""desde el sur"" (du midi). Este sabueso rastreador activo, ágil y alegre es un cazador trabajador con un ladrido sonoro que trabaja muy bien en grupo. Es un compañero cariñoso y alegre que necesita jugar enérgicamente. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Francia,Mediano,12–14 años,Alegre,Cariñoso,Alerta,Afable,Dócil,Inteligente,,,,Disfruta del entrenamiento,,Requiere muchos cuidados,Necesita mucho ejercicio,
Beagle,https://cdn.royalcanin-weshare-online.io/xmmpHGsBG95Xk-RB5vhT/v1/bd5bl-hub-beagle-adult-standing?w=320&fm=jpg&auto=compress,"Cuando se socializan y se ejercitan bien, los beagles son buenos con otras mascotas y con niños, combinación que los convierte en una raza popular entre las familias.  Sin embargo, es importante recordar que los beagles se criaron inicialmente como perros de caza y que pueden distraerse fácilmente cuando salen a pasear. Esto convierte a los beagles en una de las razas de perro más difíciles de entrenar. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Reino Unido,Mediano,12–15 años,Entusiasta,Alegre,Atlético,Afable,Seguro,Fuerte,,,,Requiere mucho entrenamiento,,Requiere cuidados mínimos,Necesita mucho ejercicio,
Beagle-Harrier,https://cdn.royalcanin-weshare-online.io/BCLSxWoBaxEApS7LKRyN/v1/bd140bl-hub-beagle-herrier-adult-standing?w=320&fm=jpg&auto=compress,"El barón Gérard, que es considerado el padre de la raza, priorizó la resistencia y la tenacidad al seleccionar las características del Beagle-Harrier. Por esta razón, siempre pudieron seguir la batida a caballo en una jauría sin perder el control. Por eso el Beagle-Harrier es fácil de educar y es un perro muy entusiasta. El Beagle-Harrier es el resultado de una combinación elegante entre las dos razas. Estos sabuesos pueden rastrear liebres, zorros, corzos o jabalíes. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Francia,Mediano,12–13 años,Tranquilo,Leal,Tranquilo,Equilibrado,,,,,Paciente con niños y otros animales,La educación deberá comenzar pronto,,Requiere cuidados mínimos,,
Bearded Collie,https://www.purina.es/sites/default/files/styles/ttt_image_original/public/2021-02/BREED%20Hero%20Desktop_0170_bearded_collie.webp?itok=CHs0S5S4,"Los Bearded Collies son perros serenos, están siempre en alerta, y son seguros de sí mismos, alegres y activos. Tienen el carácter de un perro de trabajo inteligente constante y son poco nerviosos. Los Bearded Collies parecen moverse sin esfuerzo, ya que son capaces de recorrer grandes distancias con elegancia y gracia. Su andar confirma que están hechos para su trabajo. Los expertos elogian la calidad del movimiento de este perro pastor, que combina flexibilidad con eficiencia. Como compañeros, son perros dóciles y equilibrados, y se adaptan a casi cualquier hogar. Son conocidos por ser pacientes con los niños y otros miembros de la familia, y conservan su carácter alegre y juguetón hasta una edad avanzada. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True, Reino Unido,Mediano,12–15 años,Equilibrado,Ágil,Trabajador,Entusiasta,Alerta,Obediente,Requiere espacio exterior,,Paciente con niños y otros animales,,,Necesita cuidados moderados,,
Border Collie,https://cdn.royalcanin-weshare-online.io/efo9IGYBIYfdNSoCUQiA/v2/bd34bl-border-collie-adult-standing?w=320&fm=jpg&auto=compress,"Los Border Collie son perros inteligentes y leales que se caracterizan por su gracia, elegancia y equilibrio perfecto, sumado a una combinación de robustez y resistencia. Estos perros de trabajo tienen mucha energía y son cariñosos compañeros. Por sus necesidades de ejercicio y educación, los Border Collie son más adecuados para propietarios ó familias con experiencia previa con una raza de trabajo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Reino Unido,Mediano,12–15 años,Trabajador,Entusiasta,Alerta,Obediente,Inteligente,Seguro,,,Un gran perro para una familia,Requiere mucho entrenamiento,,,Necesita mucho ejercicio,
Boyero De Appenzell,https://cdn.royalcanin-weshare-online.io/9iLMxWoBaxEApS7LVBs6/v1/bd129bl-hub-appenzell-cattle-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los Boyeros de Appenzell, que tradicionalmente se utilizaban para guiar y vigilar el ganado y otros animales, así como para proteger granjas, también son perros versátiles para el trabajo y excelentes como mascotas. Pertenecen a una raza canina tricolor de tamaño mediano y forma cuadrada de buenas proporciones. Musculosos, inquietos y ágiles, con una expresión traviesa muy característica, estos perros suelen tener buen carácter y ser alegres y seguros de sí mismos. Son intrépidos, pero desconfían de los extraños. Si bien tienen fama de ser inalterables, al mismo tiempo son muy receptivos y excelentes compañeros. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Suiza,Mediano,12–14 años,Cariñoso,Dócil,Inteligente,Fuerte,Alegre,,Requiere espacio exterior,,Un gran perro para una familia,La educación deberá comenzar pronto,,,,
Boyero De Entlebuch,https://t1.ea.ltmcdn.com/es/razas/4/4/1/appenzeller-o-perro-boyero-de-appenzell_144_0_600.webp,"Tradicionalmente, los Boyeros de Entlebuch, se utilizaban para guiar y proteger al ganado, y vigilar la granja. Hoy se los reconoce como perros versátiles para el trabajo y la familia. Estos perros compactos tienen el mismo pelaje tricolor que otros perros suizos de montaña y pastoreo.  Se trata de una raza muy ágil y activa, que ha ganado admiradores gracias a su expresión abierta y dócil. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Suiza,Mediano,11–15 años,Alerta,Alegre,Seguro,Dócil,Leal,Afable,,Necesita un propietario con algo de experiencia,,Necesita poco entrenamiento,,Requiere muchos cuidados,,
Boyero De Las Ardenas,https://cdn.royalcanin-weshare-online.io/7mlUHWsBG95Xk-RBI_hl/v1/bd38bl-hub-bouvier-des-ardennes-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros belgas de ganado son animales de tamaño mediano y robusto con pelaje áspero y despeinado, excepto en la cabeza, donde el pelo es corto y plano. El pelaje del boyero de las Ardenas es denso y resistente a la intemperie, lo que les permite vigilar y conducir manadas sin importar las condiciones climatológicas.  Aunque se cría principalmente como perro de trabajo, el boyero de las Ardenas es una mascota cariñosa y atenta, ideal para familias activas. Son pacientes con los niños y se adaptan con relativa facilidad a hogares donde hay otras mascotas, siempre y cuando se les presenten de manera adecuada.  Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Bélgica,Mediano,11–14 años,Juguetón,Alegre,Ágil,Sociable,Adaptable,Seguro,,Necesita un dueño con experiencia,,Disfruta del entrenamiento,,,Necesita mucho ejercicio,
Braco De Ariège,https://cdn.royalcanin-weshare-online.io/Tfo9x2oBIYfdNSoCyhkw/v1/bd152bl-hub-ariege-pointing-dog-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros de muestra de montaña del suroeste de Francia están adaptados a todas las formas de caza. Resistentes, dóciles y fáciles de educar, son unos perros fuertes y estilizados que exudan un gran vigor. En estos animales, se busca obtener extremidades delgadas, músculos prominentes y líneas bien definidas. Su pelaje blanco moteado de color naranja, a veces de color marrón, da lugar a un perro elegante y distinguido. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Francia,Mediano,12–15 años,Alegre,Independiente,Tranquilo,,,,,,,,,Requiere cuidados mínimos,Necesita mucho ejercicio,Un gran perro guardián
Braco De Saint Germain,https://cdn.royalcanin-weshare-online.io/QyI-x2oBaxEApS7LVhyP/v1/bd156bl-hub-saint-germain-pointer-adult-standing?w=320&fm=jpg&auto=compress,"Los Bracos de Saint Germain son pointers que se utilizan, principalmente, para cazar aves, aunque de vez en cuando también cazan otro tipo de animales. A los Bracos de Saint Germain, que son sumamente sociables, bien equilibrados y cariñosos con los humanos, les gusta la vida familiar, pero, ante todo, son cazadores. Prefieren el faisán, la perdiz y la becada, que recuperan con sumo cuidado. Son fáciles de entrenar, aunque no les gustan las prisas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Francia,Mediano,12–13 años,Dócil,Sociable,Cariñoso,Obediente,,,Requiere espacio exterior,,Un gran perro para una familia,,,Requiere cuidados mínimos,,
Braco Del Borbonesado,https://cdn.royalcanin-weshare-online.io/Tvo9x2oBIYfdNSoC_BmA/v1/bd153bl-hub-bourbonnais-pointing-dog-adult-standing?w=320&fm=jpg&auto=compress,"En casa, esta raza es dócil y cariñosa, pero en la caza, su pasión e inteligencia le permiten adaptarse fácilmente a todo tipo de presas y terrenos. Estos perros, buscan olores en el suelo por naturaleza y tienen una aptitud práctica y precisa para la muestra. El Bourbonnais es un perro de tamaño mediano de pelo corto y constitución compacta y musculosa que expresa fuerza y poder. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Francia,Mediano,13–15 años,Cariñoso,Inteligente,Tranquilo,Equilibrado,Trabajador,,,,,Disfruta del entrenamiento,,Necesita cuidados moderados,,Un gran perro guardián
